date,state,fips,cases
2020-03-10,Cyprus,0,2
2020-03-12,Cyprus,0,6
2020-03-14,Cyprus,0,14
2020-03-15,Cyprus,0,21
2020-03-16,Cyprus,0,30
2020-03-17,Cyprus,0,40
2020-03-18,Cyprus,0,40
2020-03-19,Cyprus,0,58
2020-03-20,Cyprus,0,58
2020-03-21,Cyprus,0,67
2020-03-22,Cyprus,0,84
2020-03-23,Cyprus,0,95
2020-03-24,Cyprus,0,116
2020-03-25,Cyprus,0,124
2020-03-26,Cyprus,0,132
2020-03-27,Cyprus,0,146
2020-03-28,Cyprus,0,162
2020-03-29,Cyprus,0,179
2020-03-30,Cyprus,0,214
2020-03-31,Cyprus,0,230
2020-04-01,Cyprus,0,262
2020-04-02,Cyprus,0,320
2020-04-03,Cyprus,0,356
2020-04-04,Cyprus,0,396
2020-04-05,Cyprus,0,426
2020-04-06,Cyprus,0,446
2020-04-07,Cyprus,0,465
2020-04-08,Cyprus,0,494
2020-04-09,Cyprus,0,526
2020-04-10,Cyprus,0,564
2020-04-11,Cyprus,0,595
2020-04-12,Cyprus,0,616
2020-04-13,Cyprus,0,633
2020-04-14,Cyprus,0,662
2020-04-15,Cyprus,0,695
2020-04-16,Cyprus,0,715
2020-04-17,Cyprus,0,735
2019-12-31,Czechia,0,0
2020-01-01,Czechia,0,0
2020-01-02,Czechia,0,0
2020-01-03,Czechia,0,0
2020-01-04,Czechia,0,0
2020-01-05,Czechia,0,0
2020-01-06,Czechia,0,0
2020-01-07,Czechia,0,0
2020-01-08,Czechia,0,0
2020-01-09,Czechia,0,0
2020-01-10,Czechia,0,0
2020-01-11,Czechia,0,0
2020-01-12,Czechia,0,0
2020-01-13,Czechia,0,0
2020-01-14,Czechia,0,0
2020-01-15,Czechia,0,0
2020-01-16,Czechia,0,0
2020-01-17,Czechia,0,0
2020-01-18,Czechia,0,0
2020-01-19,Czechia,0,0
2020-01-20,Czechia,0,0
2020-01-21,Czechia,0,0
2020-01-22,Czechia,0,0
2020-01-23,Czechia,0,0
2020-01-24,Czechia,0,0
2020-01-25,Czechia,0,0
2020-01-26,Czechia,0,0
2020-01-27,Czechia,0,0
2020-01-28,Czechia,0,0
2020-01-29,Czechia,0,0
2020-01-30,Czechia,0,0
2020-01-31,Czechia,0,0
2020-02-01,Czechia,0,0
2020-02-02,Czechia,0,0
2020-02-03,Czechia,0,0
2020-02-04,Czechia,0,0
2020-02-05,Czechia,0,0
2020-02-06,Czechia,0,0
2020-02-07,Czechia,0,0
2020-02-08,Czechia,0,0
2020-02-09,Czechia,0,0
2020-02-10,Czechia,0,0
2020-02-11,Czechia,0,0
2020-02-12,Czechia,0,0
2020-02-13,Czechia,0,0
2020-02-14,Czechia,0,0
2020-02-15,Czechia,0,0
2020-02-16,Czechia,0,0
2020-02-17,Czechia,0,0
2020-02-18,Czechia,0,0
2020-02-19,Czechia,0,0
2020-02-20,Czechia,0,0
2020-02-21,Czechia,0,0
2020-02-22,Czechia,0,0
2020-02-23,Czechia,0,0
2020-02-24,Czechia,0,0
2020-02-25,Czechia,0,0
2020-02-26,Czechia,0,0
2020-02-27,Czechia,0,0
2020-02-28,Czechia,0,0
2020-02-29,Czechia,0,0
2020-03-01,Czechia,0,0
2020-03-02,Czechia,0,3
2020-03-03,Czechia,0,5
2020-03-04,Czechia,0,5
2020-03-05,Czechia,0,8
2020-03-06,Czechia,0,12
2020-03-07,Czechia,0,19
2020-03-08,Czechia,0,26
2020-03-09,Czechia,0,32
2020-03-10,Czechia,0,40
2020-03-11,Czechia,0,63
2020-03-12,Czechia,0,94
2020-03-13,Czechia,0,116
2020-03-14,Czechia,0,150
2020-03-15,Czechia,0,214
2020-03-16,Czechia,0,298
2020-03-17,Czechia,0,344
2020-03-18,Czechia,0,434
2020-03-19,Czechia,0,522
2020-03-20,Czechia,0,694
2020-03-21,Czechia,0,904
2020-03-22,Czechia,0,995
2020-03-23,Czechia,0,1165
2020-03-24,Czechia,0,1236
2020-03-25,Czechia,0,1394
2020-03-26,Czechia,0,1654
2020-03-27,Czechia,0,2062
2020-03-28,Czechia,0,2279
2020-03-29,Czechia,0,2663
2020-03-30,Czechia,0,2829
2020-03-31,Czechia,0,3002
2020-04-01,Czechia,0,3308
2020-04-02,Czechia,0,3589
2020-04-03,Czechia,0,3858
2020-04-04,Czechia,0,4190
2020-04-05,Czechia,0,4472
2020-04-06,Czechia,0,4587
2020-04-07,Czechia,0,4822
2020-04-08,Czechia,0,5017
2020-04-09,Czechia,0,5312
2020-04-10,Czechia,0,5569
2020-04-11,Czechia,0,5732
2020-04-12,Czechia,0,5902
2020-04-13,Czechia,0,5991
2020-04-14,Czechia,0,6059
2020-04-15,Czechia,0,6141
2020-04-16,Czechia,0,6303
2020-04-17,Czechia,0,6433
2020-03-03,Portugal,0,2
2020-03-04,Portugal,0,4
2020-03-05,Portugal,0,5
2020-03-06,Portugal,0,9
2020-03-07,Portugal,0,13
2020-03-08,Portugal,0,21
2020-03-09,Portugal,0,30
2020-03-10,Portugal,0,39
2020-03-11,Portugal,0,41
2020-03-12,Portugal,0,59
2020-03-13,Portugal,0,78
2020-03-14,Portugal,0,112
2020-03-15,Portugal,0,169
2020-03-16,Portugal,0,245
2020-03-17,Portugal,0,331
2020-03-18,Portugal,0,448
2020-03-19,Portugal,0,642
2020-03-20,Portugal,0,785
2020-03-21,Portugal,0,1020
2020-03-22,Portugal,0,1280
2020-03-23,Portugal,0,1600
2020-03-24,Portugal,0,2060
2020-03-25,Portugal,0,2362
2020-03-26,Portugal,0,2995
2020-03-27,Portugal,0,3544
2020-03-28,Portugal,0,4268
2020-03-29,Portugal,0,5170
2020-03-30,Portugal,0,5962
2020-03-31,Portugal,0,6408
2020-04-01,Portugal,0,7443
2020-04-02,Portugal,0,8251
2020-04-03,Portugal,0,9034
2020-04-04,Portugal,0,9886
2020-04-05,Portugal,0,10524
2020-04-06,Portugal,0,11278
2020-04-07,Portugal,0,11730
2020-04-08,Portugal,0,12442
2020-04-09,Portugal,0,13141
2020-04-10,Portugal,0,13956
2020-04-11,Portugal,0,15472
2020-04-12,Portugal,0,15987
2020-04-13,Portugal,0,16585
2020-04-14,Portugal,0,16934
2020-04-15,Portugal,0,17448
2020-04-16,Portugal,0,18091
2020-04-17,Portugal,0,18841
2020-03-08,Malta,0,3
2020-03-10,Malta,0,4
2020-03-12,Malta,0,6
2020-03-13,Malta,0,9
2020-03-14,Malta,0,12
2020-03-15,Malta,0,18
2020-03-16,Malta,0,21
2020-03-17,Malta,0,30
2020-03-18,Malta,0,38
2020-03-19,Malta,0,48
2020-03-20,Malta,0,53
2020-03-21,Malta,0,64
2020-03-22,Malta,0,73
2020-03-23,Malta,0,90
2020-03-24,Malta,0,107
2020-03-25,Malta,0,120
2020-03-26,Malta,0,129
2020-03-27,Malta,0,134
2020-03-28,Malta,0,139
2020-03-29,Malta,0,149
2020-03-30,Malta,0,151
2020-03-31,Malta,0,156
2020-04-01,Malta,0,167
2020-04-02,Malta,0,188
2020-04-03,Malta,0,195
2020-04-04,Malta,0,202
2020-04-05,Malta,0,213
2020-04-06,Malta,0,234
2020-04-07,Malta,0,241
2020-04-08,Malta,0,293
2020-04-09,Malta,0,299
2020-04-10,Malta,0,337
2020-04-11,Malta,0,350
2020-04-12,Malta,0,370
2020-04-13,Malta,0,378
2020-04-14,Malta,0,384
2020-04-15,Malta,0,393
2020-04-16,Malta,0,399
2020-04-17,Malta,0,412
2019-12-31,Greece,0,0
2020-01-01,Greece,0,0
2020-01-02,Greece,0,0
2020-01-03,Greece,0,0
2020-01-04,Greece,0,0
2020-01-05,Greece,0,0
2020-01-06,Greece,0,0
2020-01-07,Greece,0,0
2020-01-08,Greece,0,0
2020-01-09,Greece,0,0
